Matricule	Qualite	Nom usuel	Prenom usuel	Etat	Date naissance	Date de deces	Groupe politique	Type d'app au grp politique	Commission permanente	Circonscription	Fonction au Bureau du Senat	Courrier electronique	PCS INSEE	Categorie professionnelle	Description de la profession
98023Q	M.	Cornu	Gérard	ANCIEN	06/02/1952		Les Républicains	Apparenté	commission de l'aménagement du territoire et du développement durable	Eure-et-Loir		g.cornu@senat.fr	Commercants et assimilés	Commerce et industrie (Retraités)	Opticien-Audioprothésiste
19253P	Mme	Costes	Josiane	ACTIF	23/08/1947		RDSE		commission des lois	Cantal		Non public	Retraités	Enseignement supérieur (sauf Professeurs de médecine)	Professeur agrégé d'anglais
59224F	M.	Costes	Marcel	ANCIEN	05/10/1935	27/05/2013	SOCR		commission de l'économie	Lot			Artisans	Commerce et industrie (Artisans)	Artisan
000702	M.	Coude Du Foresto	Yvon	ANCIEN	10/02/1897	24/01/1980	U.C.D.P.		commission des finances	Deux-Sèvres			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
07030L	M.	Couderc	Raymond	ANCIEN	16/09/1946		Les Républicains		commission des affaires étrangères	Hérault		r.couderc@senat.fr	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Professeur d'université
000192	M.	Coudert	Jacques	ANCIEN	30/07/1908	17/09/1988	U.D.R.	Apparenté	commission de l'économie	Corrèze			Professions libérales	Professions judiciaires et libérales (Divers)	Expert agricole
000121	M.	Courbatere	Roger	ANCIEN	09/05/1905	16/02/1998	G.D.		commission des affaires sociales	Corrèze			Artisans	Commerce et industrie (Artisans)	Artisan-décorateur
000205	M.	Courriere	Antoine	ANCIEN	23/01/1909	20/09/1974	SOCR		commission des finances	Aude			Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Officiers ministériels)	Notaire
74050Q	M.	Courrière	Raymond	ANCIEN	23/08/1932	11/08/2006	SOCR		commission des lois	Aude			Anciens cadres	Professions judiciaires et libérales (Retraités)	Notaire honoraire
000359	M.	Courroy	Louis	ANCIEN	04/03/1915	12/10/1991	RI		commission de la culture	Vosges	Questeur du Sénat		Cadres d'entreprise	Salariés (Cadres divers)	Directeur commercial
80013X	M.	Courteau	Roland	ACTIF	24/02/1943		SOCR		commission des affaires économiques	Aude		roland.courteau@wanadoo.fr	Instituteurs et assimilés	Enseignement (Retraités)	Instituteur
11115U	M.	Courtial	Édouard	ACTIF	28/06/1973		Les Républicains		commission des affaires étrangères	Oise		e.courtial@senat.fr	Cadres administratifs et commerciaux d'entreprise	Salariés (Cadres divers)	Chargé de mission commercial
95020Y	M.	Courtois	Jean-Patrick	ANCIEN	20/05/1951		Les Républicains		commission des lois	Saône-et-Loire		jp.courtois@senat.fr	Cadres de la fonction publique	Fonctionnaires (Retraités)	Attaché principal de préfecture
000089	M.	Cousin	Auguste	ANCIEN	03/11/1903	10/01/1982	U.R.E.I.		commission de la culture	Manche			Agriculteurs exploitants	Professions agricoles	Agriculteur
000173	M.	Coutrot	Maurice	ANCIEN	03/12/1907	17/09/1992	SOCR		commission de l'économie	Seine-Saint-Denis			Employés administratifs d'entreprise	Salariés (Employés)	Employé de commerce
59529V	M.	Couve De Murville	Maurice	ANCIEN	24/01/1907	24/12/1999	RPR		commission des finances	Paris			Anciens cadres	Fonctionnaires (Hauts Fonctionnaires)	Inspecteur général des finances en retraite
000769	Mme	Cremieux	Suzanne	ANCIEN	29/06/1895	11/07/1976	G.D.		commission de la culture	Gard			Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Journaliste
11001K	Mme	Cros	Roselle	ANCIEN	27/08/1947		UC		commission des affaires sociales	Yvelines		r.cros@senat.fr	Cadres de la fonction publique	Fonctionnaires (Retraités)	Consultante formatrice
71011U	M.	Croze	Pierre	ANCIEN	14/05/1921	19/01/1998	RI		commission des affaires étrangères	Français établis hors de France			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Administrateur de sociétés
59530N	M.	Crucis	Michel	ANCIEN	04/01/1922	10/09/2012	RI		commission des affaires étrangères	Vendée			Professions libérales	Professions judiciaires et libérales (Divers)	Conseiller juridique et fiscal
11056N	Mme	Cukierman	Cécile	ACTIF	26/04/1976		CRCE		commission des affaires économiques	Loire		c.cukierman@senat.fr	Professeurs, professions scientifiques	Enseignement secondaire	Professeur d'histoire-géographie
14357A	M.	Cuypers	Pierre	ACTIF	23/03/1944		Les Républicains		commission des affaires économiques	Seine-et-Marne		Non public	Agriculteurs exploitants	Professions agricoles	Exploitant agricole
19525U	M.	Dagbert	Michel	ACTIF	28/01/1962		SOCR		commission de l'aménagement du territoire et du développement durable	Pas-de-Calais		m.dagbert@senat.fr	Professions intermédiaires de la santé et du travail social	Professions médicales (Autres)	Aide-soignant
58649Y	M.	Dagonia	Georges	ANCIEN	09/12/1930	29/09/2007	SOCR		commission des affaires sociales	Guadeloupe	Secrétaire du Sénat		Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
59533R	M.	D'Aillieres	Michel	ANCIEN	17/12/1923	31/10/2010	RI		commission des affaires étrangères	Sarthe			Agriculteurs exploitants	Professions agricoles	Propriétaire exploitant forestier
000397	M.	Dailly	Etienne	ANCIEN	04/01/1918	24/12/1996	R.D.E.		commission des lois	Seine-et-Marne	Vice-président du Sénat		Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Administrateur de sociétés
04086Q	M.	Dallier	Philippe	ACTIF	08/12/1962		Les Républicains		commission des finances	Seine-Saint-Denis	Vice-président du Sénat	p.dallier@senat.fr	Ingenieurs et cadres techniques d'entreprise	Salariés (Cadres divers)	Chef de projet en informatique
59215E	M.	D'Andigne	Hubert	ANCIEN	24/04/1917	22/09/2005	RPR		commission de la culture	Orne	Secrétaire du Sénat		Agriculteurs exploitants	Professions agricoles	Exploitant agricole
14079W	M.	Danesi	René	ACTIF	30/08/1947		Les Républicains		commission des affaires étrangères	Haut-Rhin		r.danesi@senat.fr	Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	
07001F	M.	Danglot	Jean-Claude	ANCIEN	20/09/1950		CRCE		commission de l'économie	Pas-de-Calais			Cadres de la fonction publique	Fonctionnaires (Divers)	Sapeur-pompier professionnel
11065P	M.	Dantec	Ronan	ACTIF	05/08/1963		RDSE	Rattaché	commission de l'aménagement du territoire et du développement durable	Loire-Atlantique		r.dantec@senat.fr	Vétérinaires (libéraux ou salariés)	Professions judiciaires et libérales (Divers)	Auteur
19693L	Mme	Darcos	Laure	ACTIF	27/11/1970		Les Républicains		commission de la culture	Essonne		l.darcos@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	
98031Q	M.	Darcos	Xavier	ANCIEN	14/07/1947		RPR	Rattaché	commission de la culture	Dordogne		Non public	Autres personnes sans activité professionnelle	Fonctionnaires (Hauts Fonctionnaires)	Inspecteur général de l'Education Nationale
000416	M.	Dardel	Georges	ANCIEN	13/04/1919	01/10/1982	NI		commission des lois	Hauts-de-Seine			Employés administratifs d'entreprise	Salariés (Employés)	Employé à la société nationale des chemins de fer français
000757	M.	d'Argenlieu	Philippe	ANCIEN	25/09/1892	21/05/1977	U.N.R.		commission des affaires étrangères	Sarthe			Agriculteurs exploitants	Professions agricoles	Propriétaire agriculteur
14259Y	M.	Darnaud	Mathieu	ACTIF	11/07/1975		Les Républicains		commission des lois	Ardèche		m.darnaud@senat.fr	Cadres de la fonction publique	Fonctionnaires (Cadres moyens)	Urbaniste
95021A	M.	Darniche	Philippe	ANCIEN	23/02/1943		NI		commission de l'aménagement du territoire et du développement durable	Vendée		p.darniche@senat.fr	Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacien
000683	M.	Darou	Marcel	ANCIEN	03/08/1896	29/01/1986	SOCR		commission des affaires sociales	Nord			Instituteurs et assimilés	Enseignement primaire	Directeur d'école
000524	M.	Darras	Michel	ANCIEN	05/03/1924	06/01/1992	SOCR		commission des lois	Pas-de-Calais			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
000709	M.	Dassaud	Francis	ANCIEN	11/07/1895	17/11/1965	SOCR		commission des affaires sociales	Puy-de-Dôme			Ouvriers	Salariés (Ouvriers)	Mécanicien
04055H	M.	Dassault	Serge	ANCIEN	04/04/1925	28/05/2018	Les Républicains		commission des finances	Essonne		Non public	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Président-directeur général de sociétés
98020M	M.	d'Attilio	Henri	ANCIEN	04/02/1927	12/11/2008	SOCR		commission des affaires sociales	Bouches-du-Rhône		Non public	Autres personnes sans activité professionnelle	Commerce et industrie (Retraités)	Cadre de l'aéronautique retraité
04008A	M.	Daubresse	Marc-Philippe	ACTIF	01/08/1953		Les Républicains		commission des lois	Nord		mp.daubresse@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur de société
08052W	M.	Daudigny	Yves	ACTIF	23/02/1947		SOCR		commission des affaires sociales	Aisne	Secrétaire du Sénat	y.daudigny@senat.fr	Professeurs, professions scientifiques	Enseignement (Retraités)	Professeur de physique
01012H	M.	Dauge	Yves	ANCIEN	26/01/1935		SOCR		commission de la culture	Indre-et-Loire		y.dauge@senat.fr	Anciens cadres	Fonctionnaires (Hauts Fonctionnaires)	Inspecteur général de l'équipement
000438	M.	Daugnac	André	ANCIEN	14/12/1919	30/12/1995	UC		commission des lois	Pyrénées-Orientales			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Entrepreneur
80014Y	M.	Daunay	Marcel	ANCIEN	20/03/1930	09/04/2008	UC		commission de l'économie	Ille-et-Vilaine	Secrétaire du Sénat		Agriculteurs exploitants	Professions agricoles	Agriculteur
08038Y	M.	Daunis	Marc	ACTIF	22/04/1955		SOCR		commission des affaires économiques	Alpes-Maritimes		m.daunis@senat.fr	Instituteurs et assimilés	Enseignement secondaire	Professeur
01059Y	Mme	David	Annie	ANCIEN	17/01/1963		CRCE		commission des affaires sociales	Isère		a.david@senat.fr	Autres personnes sans activité professionnelle	Salariés (Employés)	Acheteuse en informatique
58019X	M.	David	Jean	ANCIEN	01/03/1924	08/05/2013	U.C.D.P.		commission de la culture	Aube			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Directeur des centres de formation des personnels communaux
57826T	M.	David	Léon	ANCIEN	19/06/1901	26/08/2000	C		commission de l'économie	Bouches-du-Rhône			Artisans	Commerce et industrie (Artisans)	Artisan forgeron
000360	M.	Dayan	Georges	ANCIEN	06/03/1915	28/05/1979	SOCR		commission des lois	Paris			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Conseiller d'Etat
000016	M.	de Bagneux	Jean	ANCIEN	17/07/1900	26/10/1983	U.R.E.I.		commission de la culture	Côtes-du-Nord			Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession
19543W	M.	de Belenet	Arnaud	ACTIF	14/03/1975		LaREM		commission des lois	Seine-et-Marne		a.de-belenet@senat.fr	Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Divers)	Juriste
70001N	M.	de Bourgoing	Philippe	ANCIEN	25/07/1921	19/02/2007	RI		commission des lois	Calvados			Agriculteurs exploitants	Professions agricoles	Agriculteur
98048A	M.	de Broissia	Louis	ANCIEN	01/06/1943		Les Républicains		commission de la culture	Côte-d'Or		l.debroissia@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	
59570W	M.	De Catuelan	Louis	ANCIEN	30/03/1924	31/03/2003	UC		commission de l'économie	Yvelines			Agriculteurs exploitants	Professions agricoles	Agriculteur
57434F	M.	De Chevigny	Pierre	ANCIEN	03/06/1914	18/10/2001	RI		commission des affaires étrangères	Meurthe-et-Moselle			Agriculteurs exploitants	Professions agricoles	Agriculteur
19701S	Mme	de Cidrac	Marta	ACTIF	13/06/1964		Les Républicains		commission de l'aménagement du territoire et du développement durable	Yvelines		m.de-cidrac@senat.fr	Professions libérales	Professions judiciaires et libérales (Divers)	Architecte
83023N	M.	de Cossé-Brissac	Charles-Henri	ANCIEN	16/03/1936	15/08/2003	RI		commission des affaires étrangères	Loire-Atlantique			Agriculteurs exploitants	Professions agricoles	Exploitant agricole
74019R	M.	de Cuttoli	Charles	ANCIEN	15/08/1915	11/12/2007	RPR		commission de l'économie	Français établis hors de France		Non public	Avocats	Professions judiciaires et libérales (Avocats)	Avocat
000719	M.	de Felice	Pierre	ANCIEN	13/12/1896	12/01/1978	G.D.		commission des lois	Loiret			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
86028G	M.	de Gaulle	Philippe	ANCIEN	28/12/1921		Les Républicains		commission des affaires étrangères	Paris			Anciens cadres	Fonctionnaires (Retraités)	Ancien inspecteur général de la marine
000700	M.	de Geoffre de Chabrignac	Jean	ANCIEN	08/11/1889	14/03/1971	U.N.R.		commission de l'économie	Maine-et-Loire			Agriculteurs exploitants	Professions agricoles	Agriculteur
000186	M.	de Hauteclocque	Baudouin	ANCIEN	13/06/1908	09/10/1981	U.R.E.I.		commission des lois	Pas-de-Calais	Secrétaire du Sénat		Agriculteurs exploitants	Professions agricoles	Propriétaire exploitant
000310	Mme	de Hauteclocque	Nicole	ANCIEN	10/03/1913	18/01/1993	RPR		commission des affaires étrangères	Paris			Anciens cadres et professions liberales	Professions judiciaires et libérales (Divers)	Expert en relations publiques
58945E	M.	De La Forest	Louis	ANCIEN	12/08/1914	30/09/2013	U.R.E.I.		commission des affaires étrangères	Ille-et-Vilaine			Agriculteurs exploitants	Professions agricoles	Agriculteur
000068	M.	de La Gontrie	Pierre	ANCIEN	30/07/1902	06/05/1971	G.D.		commission des lois	Savoie			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
19649G	Mme	de la Gontrie	Marie-Pierre	ACTIF	18/12/1958		SOCR		commission des lois	Paris		Non public	Avocats	Professions judiciaires et libérales (Avocats)	Avocate
77046H	M.	de La Malène	Christian	ANCIEN	05/12/1920	26/09/2007	Les Républicains	Rattaché	commission des affaires étrangères	Paris			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Sociologue
19735D	Mme	de la Provôté	Sonia	ACTIF	25/12/1968		UC		commission de la culture	Calvados		s.delaprovote@senat.fr	Professions intermédiaires de la santé et du travail social	Professions médicales (Médecins)	Médecin du travail
000072	M.	de La Vasselais	Guy	ANCIEN	05/12/1902	20/07/1976	NI		commission des affaires étrangères	Eure-et-Loir			Agriculteurs exploitants	Professions agricoles	Propriétaire-exploitant agricole
58913V	M.	De La Verpilliere	Guy	ANCIEN	09/08/1922	25/04/2006	U.R.E.I.		commission de l'économie	Ain			Agriculteurs exploitants	Professions agricoles	Agriculteur
57449N	M.	de Lachomette	Jean	ANCIEN	28/03/1912	12/01/1999	CRARS		commission des affaires étrangères	Haute-Loire			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
08034U	M.	de Legge	Dominique	ACTIF	18/02/1952		Les Républicains		commission des finances	Ille-et-Vilaine	Secrétaire du Sénat	d.de-legge@senat.fr	Cadres et Professions intellectuelles supérieures	Autres professions	Cadre dirigeant dans le domaine de l'environnement
000767	M.	de Maupeou	Jacques	ANCIEN	28/12/1899	22/01/1963	RI		commission de la culture	Vendée			Agriculteurs exploitants	Professions agricoles	Propriétaire-exploitant agricole
89034S	M.	de Menou	Jacques	ANCIEN	30/10/1932	11/08/2010	RPR		commission de l'économie	Finistère			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur agronome
000705	M.	de Montalembert	Geoffroy	ANCIEN	10/10/1898	02/03/1993	RPR		commission des finances	Seine-Maritime			Agriculteurs exploitants	Professions agricoles	Agriculteur
98032R	M.	de Montesquiou	Aymeri	ANCIEN	07/07/1942		UC		commission des affaires étrangères	Gers		a.demontesquiou@senat.fr	Autres personnes sans activité professionnelle	Professions agricoles	Exploitant agricole
08011M	M.	de Montgolfier	Albéric	ACTIF	06/07/1964		Les Républicains		commission des finances	Eure-et-Loir		a.de-montgolfier@senat.fr	Avocats	Professions judiciaires et libérales (Avocats)	Avocat au Conseil d'État et à la Cour de cassation
000209	M.	de Montigny	Lucien	ANCIEN	06/04/1909	05/07/1975	U.C.D.P.		commission des lois	Mayenne			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
000428	M.	de Nicolay	François	ANCIEN	31/08/1919	21/11/1963	RI		commission des affaires étrangères	Sarthe			Agriculteurs exploitants	Professions agricoles	Exploitant agricole et forestier
14169X	M.	de Nicolaÿ	Louis-Jean	ACTIF	18/09/1949		Les Républicains		commission de l'aménagement du territoire et du développement durable	Sarthe		lj.de-nicolay@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Gérant de société
000108	M.	de Pommery	Joseph	ANCIEN	29/08/1904	18/06/1981	RI		commission des affaires sociales	Meurthe-et-Moselle			Agriculteurs exploitants	Professions agricoles	Agriculteur
56522A	M.	de Pontbriand	Michel	ANCIEN	30/03/1911	28/08/2000	U.N.R.		commission de l'économie	Loire-Atlantique			Agriculteurs exploitants	Professions agricoles	Propriétaire exploitant
